,p_bat_sch,k_pv_sch,p_grid_sch,soc_bat,pv_forecasted,load_forecasted,p_grid_cost
0,0.298,1.0,0,0.5,0.0,0.298,0.63
1,0.47501914,1.0,0,0.49379167,0.0,0.47501914329411765,0.63
2,0.45597974,1.0,0,0.48389543,0.0,0.45597974311418676,0.63
3,0.4367705,1.0,0,0.47439586,0.0,0.43677050019723185,0.63
4,0.4250429,1.0,0,0.46529647,0.0,0.42504289731896827,0.63
5,0.4090661,1.0,0,0.45644141,0.0,0.4090660992784524,0.63
6,0.35987416,1.0,0,0.4479192,0.0,0.35987415837517456,0.63
7,0.2855995,1.0,0,0.44042182,0.0,0.28559949883341085,0.63
8,0.34373707,1.0,0,0.43447183,0.0,0.34373706736367865,0.63
9,0.43926206,1.0,0,0.42731064,0.0,0.439262064016552,0.63
10,0.53494816,1.0,0,0.41815935,0.0,0.5349481574635739,0.63
11,0.64939094,1.0,0,0.4070146,0.0,0.6493909397074039,0.63
12,0.64586378,1.0,0,0.39348562,0.0,0.6458637842040384,0.63
13,0.5727821,1.0,0,0.38003012,0.0,0.5727820952022028,0.63
14,0.47481864,1.0,0,0.36809716,0.0,0.4748186382921107,0.63
15,0.37018037,1.0,0,0.35820511,0.0,0.3701803657956967,0.63
16,0.33966926,1.0,0,0.35049302,0.0,0.3396692642521981,0.63
17,0.34283754,1.0,0,0.34341657,0.0,0.3428375394102898,0.63
18,0.35697548,1.0,0,0.33627413,0.0,0.356975480769249,0.63
19,0.37832859,1.0,0,0.32883714,0.0,0.3783285907832267,0.63
20,0.38504092,1.0,0,0.32095529,0.0,0.3850409216999418,0.63
21,0.34549109,1.0,0,0.31293361,0.0,0.3454910887454228,0.63
22,0.39023995,1.0,0,0.30573587,0.0,0.3902399538611397,0.63
23,0.42754813,1.0,0,0.29760588,0.0,0.42754812519698526,0.63
24,0.46645232,1.0,0,0.28869862,0.0,0.46645231847108287,0.63
25,0.45996395,1.0,0,0.27898087,0.0,0.459963946984227,0.63
26,0.41806962,1.0,0,0.26939828,0.0,0.41806962090048744,0.63
27,0.32618695,1.0,0,0.2606885,0.03939393963636364,0.36558088940026584,0.63
28,0.17974866,1.0,0,0.25389294,0.12603305834710746,0.30578171567287227,0.63
29,-0.034270289,1.0,0,0.25014817,0.27329075928024044,0.2390204707306576,0.63
30,-0.28417029,0.97526663,0,0.25086214,0.48240102042558564,0.1862993271258132,0.63
