time,data
17:30,4.98
17:33,5.088
17:36,5.23
17:39,5.44
17:42,5.458
17:45,5.38
17:48,5.212
17:51,5.058
17:54,4.932
17:57,4.63
18:00,4.24
18:03,5.422
18:06,6.282
18:09,6.498
18:12,6.514
18:15,6.43
18:18,6.61
18:21,6.806
18:24,7.034
18:27,6.774
18:30,6.27
18:33,5.898
18:36,5.716
18:39,5.914
18:42,6.096
18:45,6.27
18:48,6.366
18:51,6.446
18:54,6.494
18:57,6.382
19:00,6.19
19:03,6.484
19:06,6.672
19:09,6.648
19:12,6.56
19:15,6.44
19:18,6.218
19:21,6.142
19:24,6.358
19:27,6.462
19:30,6.51
19:33,6.624
19:36,6.596
19:39,6.284
19:42,6.096
19:45,5.97
19:48,6.132
19:51,6.31
19:54,6.52
19:57,6.65
20:00,6.74
20:03,6.512
20:06,6.272
20:09,6.008
20:12,6.004
20:15,6.13
20:18,6.49
20:21,6.568
20:24,6.082
20:27,5.68
20:30,5.32
20:33,5.416
20:36,5.694
20:39,6.336
20:42,6.374
20:45,6.11
20:48,5.912
20:51,5.62
20:54,5.14
20:57,5.18
21:00,5.48
21:03,5.498
21:06,5.384
21:09,5.006
21:12,4.716
21:15,4.47
21:18,4.434
21:21,4.592
21:24,5.138
21:27,5.248
21:30,5.14
21:33,4.846
21:36,4.58
21:39,4.37
21:42,4.384
21:45,4.51
21:48,4.816
21:51,4.94
21:54,4.7
21:57,4.572
22:00,4.5
22:03,4.464
22:06,4.564
22:09,4.936
22:12,5.048
22:15,5.03
22:18,4.748
22:21,4.52
22:24,4.4
22:27,4.436
22:30,4.55
22:33,4.4
22:36,4.25
22:39,4.1
22:42,3.95
22:45,3.8
22:48,3.914
22:51,4.076
22:54,4.334
22:57,4.332
23:00,4.2
23:03,4.314
23:06,4.25
23:09,3.83
23:12,3.75
23:15,3.84
23:18,4.02
23:21,4.118
23:24,4.052
23:27,3.982
23:30,3.91
23:33,3.898
23:36,3.968
23:39,4.202
23:42,4.052
23:45,3.71
23:48,3.848
23:51,3.918
23:54,3.852
23:57,3.83
