potencia_PV
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.26
0.53
0.94
1.33
1.72
2.1
2.48
2.85
3.22
3.49
3.89
4.2
4.5
4.76
0
5.23
5.42
5.59
5.74
5.85
5.93
5.99
6.03
6.01
5.97
5.89
5.78
5.65
5.5
5.27
5.06
4.83
4.56
4.27
3.96
3.63
3.29
2.92
2.56
2.18
1.78
1.38
0.98
0.62
0.14
0.05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.26
0.56
0.94
1.32
1.7
2.08
2.37
2.83
3.2
3.52
3.88
4.18
4.47
4.73
4.94
5.21
5.41
5.56
5.65
5.7
5.9
5.96
5.98
5.99
5.95
5.89
5.79
5.67
5.53
5.36
5.19
4.85
4.67
4.41
4.08
3.37
2.75
2.48
1.57
1.86
1.8
0.89
0.7
0.41
0.19
0.03
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.24
0.34
0.7
0.64
0.78
0.47
0.51
1.97
2.18
1.95
3.29
3.01
1.8
2.09
2.16
1.95
1.8
3.03
1.88
3.06
2.02
1.69
1.2
0.91
1.21
1.2
1.3
0.82
1.5
1.81
1.13
1.34
0.95
0.53
0.53
0.45
0.49
0.5
0.28
0.35
0.41
0.31
0.15
0.05
0.03
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.02
0.06
0.07
0.2
0.2
0.33
0.38
0.48
0.32
0.44
0.58
0.48
1.07
0.82
1.01
0.84
0.8
0.89
0.97
1.52
1.04
1.76
1.61
1.34
1.95
2.18
1.92
2.34
2.3
2.45
3.5
2.36
2.33
3.32
1.84
1.58
3.31
2.76
2.43
2.06
0.61
1.49
0.93
0.58
0.2
0.05
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.17
0.13
0.16
0.77
0.75
0.68
1.49
1.29
2.13
1.23
1.51
1.54
1.18
1.23
0.9
0.92
0.79
1.33
1.64
1.79
0
1.13
0.99
0.61
0.42
0.59
0.72
0.77
0.72
0.6
0.45
0.78
0.68
0.56
0.37
0.27
0.21
0.18
0.11
0.09
0.13
0.08
0.04
0.02
0.01
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.08
0.25
0.39
0.71
0.8
0.34
0.62
1.69
2.58
1.47
4.51
0
0
0
0
0
0
0
0
0
2.59
2.01
2.08
3.45
2.04
2.06
2.07
2.08
2.09
0
1.38
2.41
1.4
1.13
1.92
0.81
1.5
1.03
0.67
1.14
2.08
0.52
0.3
0.12
0.08
0.02
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.21
0.36
0.93
1.5
1.85
2.19
2.66
3.18
3.12
3.89
4.27
4.55
4.85
0
5.39
5.05
5.73
5.86
6.05
6.23
6.3
6.3
6.32
6.29
6.2
6.22
6.06
0
5.79
5.51
5.45
5.12
4.92
4.34
3.76
3.74
3.6
3.18
2.68
2.38
1.81
1.65
1.14
0.8
0.35
0.06
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0.02
0.03
0.29
0.17
0.09
0.07
0.23
0.63
0.79
0.78
0.63
1.3
0.5
0.23
0.34
0.68
1.03
0.59
0.12
0.07
0.08
0.09
0.11
0.35
1.06
0.69
0.59
0.91
1.47
1.07
1.63
1.71
3.85
2.54
2.36
1.65
1.59
1.03
0.86
1.95
0.54
0.68
0.22
