tempo;PV_real;PV_previsao;custo_energia_imp;custo_energia_exp;p_rede_imp_ref;p_rede_exp_ref
120;0.0;0.0;0.47;0.47;0.5;0.0
121;0.0;0.0;0.47;0.47;0.5;0.0
122;0.0;0.0;0.47;0.47;0.16333333;0.0
123;0.0;0.0;0.47;0.47;0.0;0.0
124;0.1;0.0;0.47;0.47;0.0;0.0
125;0.44;0.03;0.47;0.47;0.0;0.0
126;0.25;0.10333333333333333;0.47;0.47;0.0;0.0
127;1.05;0.21666666666666667;0.47;0.47;0.0;0.0
128;1.5;0.31333333333333335;0.47;0.47;0.0;0.0
129;1.94;0.6733333333333333;0.47;0.47;0.0;0.0
130;2.32;1.3833333333333335;0.47;0.47;0.0;0.38333333
131;2.35;2.0333333333333337;0.47;0.47;0.0;1.0333333
132;3.08;2.5833333333333335;0.47;0.47;0.0;1.5833333
133;3.45;2.86;0.47;0.47;0.0;2.36
134;3.77;3.2900000000000005;0.47;0.47;0.0;3.29
135;3.6;3.6233333333333335;0.47;0.47;0.0;3.6233333
136;3.77;3.94;0.47;0.47;0.0;3.94
137;4.71;4.233333333333333;0.47;0.47;0.0;4.2333333
138;4.98;4.506666666666667;0.47;0.47;0.0;4.5066667
139;5.22;4.756666666666667;0.47;0.47;0.0;4.7566667
140;5.43;4.996666666666666;0.47;0.47;0.0;4.9966667
141;5.6;5.21;0.47;0.47;0.0;5.21
142;5.73;5.3999999999999995;0.47;0.47;0.0;5.4
143;5.85;5.56;0.47;0.47;0.0;5.56
144;5.92;5.69;0.47;0.47;0.0;5.69
145;5.97;5.783333333333334;0.47;0.47;0.0;5.7833333
146;5.99;5.843333333333334;0.47;0.47;0.0;5.8433333
147;5.8;5.866666666666666;0.47;0.47;0.0;5.8666667
148;5.95;5.86;0.47;0.47;0.0;5.86
149;5.89;5.823333333333333;0.47;0.47;0.0;5.8233333
150;5.79;5.756666666666667;0.47;0.47;0.0;5.7566667
151;5.33;5.666666666666667;0.47;0.47;0.0;5.6666667
152;5.2;5.546666666666667;0.47;0.47;0.0;5.5466667
153;5.19;5.403333333333333;0.47;0.47;0.0;5.4033333
154;4.9;5.23;0.47;0.47;0.0;5.23
155;4.8;4.983333333333333;0.47;0.47;0.0;4.9833333
156;4.62;4.763333333333333;0.47;0.47;0.0;4.7633333
157;4.4;4.516666666666667;0.47;0.47;0.0;4.5166667
158;4.62;4.286666666666666;0.47;0.47;0.0;4.2866667
159;3.67;3.97;0.47;0.47;0.0;3.97
160;3.3;3.623333333333333;0.47;0.47;0.0;3.6233333
161;2.96;3.26;0.47;0.47;0.0;3.26
162;2.58;2.89;0.47;0.47;0.0;2.89
163;2.19;2.5100000000000002;0.47;0.47;0.0;2.51
164;1.79;2.12;0.65;0.65;0.0;2.12
165;1.39;1.7233333333333334;0.65;0.65;0.0;1.7233333
166;0.4;1.33;0.65;0.65;0.0;1.33
167;0.0;0.9466666666666668;0.65;0.65;0.0;0.94666667
168;0.0;0.5399999999999999;1.0;1.0;0.0;0.54
169;0.0;0.22666666666666666;1.0;1.0;0.0;0.22666667
170;0.0;0.03666666666666667;1.0;1.0;0.0;0.036666667
171;0.0;0.0;1.0;1.0;0.0;0.0
172;0.0;0.0;1.0;1.0;0.0;0.0
173;0.0;0.0;1.0;1.0;0.0;0.0
174;0.0;0.0;1.0;1.0;0.0;0.0
175;0.0;0.0;1.0;1.0;0.0;0.0
176;0.0;0.0;1.0;1.0;0.0;0.0
177;0.0;0.0;1.0;1.0;0.0;0.0
178;0.0;0.0;1.0;1.0;0.0;0.0
179;0.0;0.0;1.0;1.0;0.0;0.5
180;0.0;0.0;0.65;0.65;0.0;0.0
181;0.0;0.0;0.65;0.65;0.0;0.0
182;0.0;0.0;0.65;0.65;0.0;0.0
183;0.0;0.0;0.65;0.65;0.0;0.0
184;0.0;0.0;0.47;0.47;0.5;0.0
185;0.0;0.0;0.47;0.47;0.0;0.0
186;0.0;0.0;0.47;0.47;0.0;0.0
187;0.0;0.0;0.47;0.47;0.0;0.0
188;0.0;0.0;0.47;0.47;0.0;0.0
189;0.0;0.0;0.47;0.47;0.0;0.0
190;0.0;0.0;0.47;0.47;0.0;0.0
191;0.0;0.0;0.47;0.47;0.0;0.0
192;0.0;0.0;0.47;0.47;0.0;0.0
193;0.0;0.0;0.47;0.47;0.0;0.0
194;0.0;0.0;0.47;0.47;0.0;0.0
195;0.0;0.0;0.47;0.47;0.0;0.0
196;0.0;0.0;0.47;0.47;0.0;0.0
197;0.0;0.0;0.47;0.47;0.0;0.0
198;0.0;0.0;0.47;0.47;0.0;0.0
199;0.0;0.0;0.47;0.47;0.0;0.0
200;0.0;0.0;0.47;0.47;0.0;0.0
201;0.0;0.0;0.47;0.47;0.0;0.0
202;0.0;0.0;0.47;0.47;0.0;0.0
203;0.0;0.0;0.47;0.47;0.0;0.0
204;0.0;0.0;0.47;0.47;0.0;0.0
205;0.0;0.0;0.47;0.47;0.0;0.0
206;0.0;0.0;0.47;0.47;0.0;0.0
207;0.0;0.0;0.47;0.47;0.0;0.0
208;0.0;0.0;0.47;0.47;0.0;0.0
209;0.0;0.0;0.47;0.47;0.0;0.0
210;0.0;0.0;0.47;0.47;0.0;0.0
211;0.0;0.0;0.47;0.47;0.0;0.0
212;0.0;0.0;0.47;0.47;0.0;0.0
213;0.0;0.0;0.47;0.47;0.0;0.0
214;0.0;0.0;0.47;0.47;0.0;0.0
215;0.0;0.0;0.47;0.47;0.0;0.0
216;0.0;0.0;0.47;0.47;0.0;0.0
217;0.0;0.0;0.47;0.47;0.0;0.0
218;0.0;0.0;0.47;0.47;0.0;0.0
219;0.0;0.0;0.47;0.47;0.0;0.0
220;0.0;0.0;0.47;0.47;0.0;0.0
221;0.09;0.03;0.47;0.47;0.0;0.03
222;0.22;0.10333333333333333;0.47;0.47;0.0;0.10333333
223;0.34;0.21666666666666667;0.47;0.47;0.0;0.21666667
224;0.38;0.31333333333333335;0.47;0.47;0.0;0.31333333
225;1.3;0.6733333333333333;0.47;0.47;0.0;0.67333333
226;2.47;1.3833333333333335;0.47;0.47;0.0;1.3833333
227;2.33;2.0333333333333337;0.47;0.47;0.0;2.0333333
228;2.95;2.5833333333333335;0.47;0.47;0.0;2.5833333
229;3.3;2.86;0.47;0.47;0.0;2.86
230;3.62;3.2900000000000005;0.47;0.47;0.0;3.29
231;3.95;3.6233333333333335;0.47;0.47;0.0;3.6233333
232;4.25;3.94;0.47;0.47;0.0;3.94
233;4.5;4.233333333333333;0.47;0.47;0.0;4.2333333
234;4.77;4.506666666666667;0.47;0.47;0.0;4.5066667
235;5.0;4.756666666666667;0.47;0.47;0.0;4.7566667
236;5.22;4.996666666666666;0.47;0.47;0.0;4.9966667
237;5.41;5.21;0.47;0.47;0.0;5.21
238;5.0;5.3999999999999995;0.47;0.47;0.0;5.4
239;4.0;5.56;0.47;0.47;0.0;5.56
